,traders.co.jp_url,銘柄名,銘柄ID,前日終値,PER,PBR,時価総額,発行済株数,自己資本比率,200日移動平均,200日移動平均乖離率,13週移動平均,13週移動平均乖離率
0,https://www.traders.co.jp/stocks/63_1400/,ルーデン・ホールディングス,1400,112,,0.64,1444000000,13000000,0.7256999999999999,131.0,0.1696428571428572,118.0,0.0535714285714286
1,https://www.traders.co.jp/stocks/62_1418/,インターライフホールディングス,1418,162,25.23,0.79,3262000000,20000000,0.5179,168.0,0.03703703703703698,167.0,0.030864197530864113
2,https://www.traders.co.jp/stocks/61_1435/,Ｒｏｂｏｔ　Ｈｏｍｅ,1435,185,40.0,2.13,16221000000,91000000,0.7568,194.0,0.048648648648648596,179.0,-0.032432432432432434
3,https://www.traders.co.jp/stocks/62_1491/,中外鉱業,1491,30,22.66,1.21,8403000000,290000000,0.7187,31.0,0.03333333333333344,29.0,-0.033333333333333326
4,https://www.traders.co.jp/stocks/00_1615/,ＮＥＸＴ　ＦＵＮＤＳ　東証銀行業株価指数連動型上場投信,1615,170,,,60205000000,355000000,,167.0,-0.01764705882352946,167.0,-0.01764705882352946
5,https://www.traders.co.jp/stocks/00_1689/,ＷｉｓｄｏｍＴｒｅｅ　天然ガス上場投資信託,1689,3,,,11699000000,3343000000,,4.0,0.33333333333333326,4.0,0.33333333333333326
6,https://www.traders.co.jp/stocks/00_1695/,ＷｉｓｄｏｍＴｒｅｅ　小麦上場投資信託,1695,116,,,16041000000,142000000,,127.0,0.09482758620689657,122.0,0.051724137931034475
7,https://www.traders.co.jp/stocks/00_1696/,ＷｉｓｄｏｍＴｒｅｅ　とうもろこし上場投資信託,1696,185,,,4228000000,23000000,,176.0,-0.048648648648648596,192.0,0.037837837837837895
8,https://www.traders.co.jp/stocks/62_1757/,中小企業ホールディングス,1757,27,33.77,7.93,6715000000,258000000,0.43200000000000005,37.0,0.37037037037037046,26.0,-0.03703703703703709
9,https://www.traders.co.jp/stocks/61_1773/,ワイ・ティー・エル・コーポレーション・バーハッド,1773,17,,,176364000000,11023000000,,17.0,0.0,18.0,0.05882352941176472
10,https://www.traders.co.jp/stocks/62_1783/,アジアゲートホールディングス,1783,52,23.11,1.6,9237000000,168000000,0.6352,64.0,0.23076923076923084,56.0,0.07692307692307687
