,Unnamed: 0,traders.co.jp_url,銘柄名,銘柄ID,前日終値,PER,PBR,時価総額,発行済株数,自己資本比率,200日移動平均,200日移動平均乖離率,13週移動平均,13週移動平均乖離率
25,25,https://www.traders.co.jp/stocks/62_2666/,オートウェーブ,2666,153,9.22,0.59,2038000000,15000000,0.4558,111.0,-0.2745098039215686,128.0,-0.1633986928104575
91,91,https://www.traders.co.jp/stocks/62_5950/,日本パワーファスニング,5950,124,24.21,0.56,2280000000,19000000,0.4029999999999999,113.0,-0.0887096774193548,121.0,-0.0241935483870967
103,103,https://www.traders.co.jp/stocks/63_6550/,Ｕｎｉｐｏｓ,6550,162,,1.13,2166000000,13000000,0.6642,149.0,-0.0802469135802469,163.0,0.0061728395061728
150,150,https://www.traders.co.jp/stocks/62_8912/,エリアクエスト,8912,103,17.53,1.21,2126000000,20000000,0.4481,95.0,-0.0776699029126213,99.0,-0.0388349514563106
153,153,https://www.traders.co.jp/stocks/62_8946/,ＡＳＩＡＮ　ＳＴＡＲ,8946,83,22.84,0.95,1583000000,19000000,0.5327000000000001,79.0,-0.0481927710843373,80.0,-0.036144578313253
111,111,https://www.traders.co.jp/stocks/62_6786/,ＲＶＨ,6786,77,,1.23,1950000000,25000000,0.8415,74.0,-0.0389610389610389,81.0,0.0519480519480519
159,159,https://www.traders.co.jp/stocks/62_9610/,ウィルソン・ラーニング　ワールドワイド,9610,183,,1.19,959000000,5000000,0.5481,182.0,-0.0054644808743169,195.0,0.0655737704918033
148,148,https://www.traders.co.jp/stocks/62_8836/,ＲＩＳＥ,8836,21,,-1.11,2016000000,102000000,0.8482999999999999,21.0,0.0,20.0,-0.0476190476190476
81,81,https://www.traders.co.jp/stocks/62_4814/,ネクストウェア,4814,171,72.46,1.47,2226000000,13000000,0.7353000000000001,173.0,0.0116959064327486,173.0,0.0116959064327486
26,26,https://www.traders.co.jp/stocks/62_2673/,夢みつけ隊,2673,114,14.29,0.52,1182000000,11000000,0.6368,117.0,0.0263157894736842,114.0,0.0
12,12,https://www.traders.co.jp/stocks/62_1844/,大盛工業,1844,178,10.03,0.6,2650000000,15000000,0.4615999999999999,185.0,0.0393258426966292,179.0,0.0056179775280897
134,134,https://www.traders.co.jp/stocks/62_7836/,アビックス,7836,73,264.29,1.85,2600000000,35000000,0.5974,82.0,0.1232876712328767,73.0,0.0
73,73,https://www.traders.co.jp/stocks/63_4586/,メドレックス,4586,101,,1.66,2520000000,25000000,0.8994,114.0,0.1287128712871286,107.0,0.0594059405940594
52,52,https://www.traders.co.jp/stocks/62_3409/,北日本紡績,3409,108,131.71,1.72,1879000000,17000000,0.5213,125.0,0.1574074074074074,114.0,0.0555555555555555
0,0,https://www.traders.co.jp/stocks/63_1400/,ルーデン・ホールディングス,1400,112,,0.64,1444000000,13000000,0.7256999999999999,131.0,0.1696428571428572,118.0,0.0535714285714286
108,108,https://www.traders.co.jp/stocks/62_6731/,ピクセラ,6731,9,,1.66,2140000000,238000000,0.7904000000000001,12.0,0.3333333333333332,9.0,0.0
